Stkcd,Empnum,Vmntw3,A001000000,B001100000,B002000000,C001000000,T40801,T60200
4,264,1271500,1563562870.86,280531008.22,61990293.98,3973925.97,0.0426,0.3756
5,629,1153500,2468377463.56,398921057.66,-386796160.83,116373610.28,-0.2902,-0.3654
7,76,1877800,364394022.55,45146397.44,-123038365.96,-3359064.84,-1.8147,-0.3551
8,2394,6090500,12828310640.73,1917519166.43,-891970904.84,520039172.94,-0.1338,-0.3208
9,13345,10909300,31856615637.93,10663512791.62,1067788613.28,655142169.9,0.0806,0.414
10,278,2328200,3541730495.91,1408542234.95,76354376.87,-360797901.56,0.0935,0.0931
12,10558,19137100,17882914898,10671253445,811952981,2730619636,0.0765,0.2644
17,65,906300,91742769.99,117857480.17,4375706.59,3942228.96,0.1706,0.0079
20,1132,1099000,627779621.06,691742269.12,6830187.4,59719269.6,0.0203,0.0241
23,984,833900,2328082278.56,1783181437.28,22361651.35,88741854.78,0.0369,0.1612
30,7397,4767000,14461488628.26,11113430326.49,908467059.68,596925998.99,0.1098,0.5018
34,4569,11529100,30689603232.9,92060443406.22,624100020.59,1456920143.56,0.1327,0.9462
35,60224,860000,50377882369.02,21867491787.91,828502094.52,3006570196.78,0.0663,2.3261
36,806,2074500,10844473802.05,2705064944.82,772928133.65,-539008527.17,0.1327,0.5209
38,147,1758900,3238497741.17,2130243693.83,79441527.98,-318833886.26,0.0273,0.152
40,572,1667000,26201168826.73,3471428437.98,-1040991478.06,547736979.29,-0.0854,-0.7001
46,9601,6619300,180990832219.94,14056819178.97,-4720384567.93,8336237439.78,-0.1349,-0.9084
48,1305,9850200,9903753908.17,4071503296.81,877714394.8,1806061154.61,0.3156,2.1807
55,2245,4394200,11866857250.39,2979296410.16,381777216.87,548709785.9,0.0701,0.3508
56,960,4835000,11756759580.38,685729753.47,-319660679.54,475412423.32,-0.0661,-0.2722
62,1881,5670000,12240957482.73,16330983089.5,719735327.79,-480618231.52,0.118,0.6881
63,73709,28714000,150634906000,101450670000,4721692000,10232651000,0.1024,1.0235
68,482,3848000,3713822584.91,228679256.43,-179072880.79,-15697726.75,-0.2301,-0.1779
78,10484,6218600,39720506526.8,40022495409.13,-41287960.38,1650554959.89,-0.0055,-0.015
150,8414,1200000,5093297225.96,1561644374.35,-614461269.52,182034443.28,-2.2304,-0.7001
153,4556,1314000,3636207572.4,3321182365.33,102096606.18,292753328.44,0.0705,0.3271
156,12944,3334500,23440513999.98,7577647859.63,951714202.27,1922057078.1,0.0685,0.4852
159,258,5994900,2679380639.68,552744207.53,84999150.97,-46591951.63,0.0387,0.1768
301,18597,4549900,62933612564.34,22777003535.78,312734784.49,2061343307.2,0.0139,0.04
333,149239,28740000,360382603000,285709729000,27506542000,29557117000,0.2214,3.9128
400,5547,1965800,16806142848.31,11191201681.05,802630209.78,783466700.18,0.0873,0.796
403,902,6365200,1652617170.83,1049937691.4,182683577.11,194839665.96,0.1889,0.371
407,2071,4021100,6752489856.5,4596360862.81,215636235.13,449780536.63,0.0743,0.245
408,1603,1335700,8677638570.64,1903487124.97,228887517,-174468152.33,0.0289,0.1148
409,381,2128400,996444595.76,2163457678.16,99408760.77,-155301304.94,0.1743,0.1946
413,4557,2820400,64829232860.32,7048745959.08,-3472593890.93,2041305560.81,-0.1214,-0.606
415,612,2454300,250212275000,27417721000,-8595520000,14446691000,-0.2069,-1.3898
416,49,3607000,973401419.87,75906326.75,37603619.62,92154360.51,0.0406,0.0707
426,554,1024000,9315338588.6,940212541.04,-183867401.48,417397335.11,-0.0357,-0.1001
430,1074,1098100,2795611103.77,169196685.24,-92199858.68,-21621183.64,-0.061,-0.2278
498,14020,2440600,55080915338.19,34437327009.35,1475509814.2,974485539.07,0.1144,0.6868
502,119,1610500,231581144.72,14740139.64,-18823018.93,-15228664.82,-0.0985,-0.1018
503,1244,3753500,1296817917.19,207372157.9,-243342238.68,-93006322.85,-0.2524,-0.2707
506,1472,1616300,2323131340.61,425054418.8,-485761007.65,133229485.72,-0.8468,-0.5229
509,82,1296000,272487476.98,50084400.07,13146428.49,-95345541.69,0.0878,0.0123
510,2435,4664800,1816415281.28,2206963015.97,75426364.31,195290290.65,0.0689,0.1238
513,8367,13364800,20590815791.72,10520409842.01,2131326706.5,2160760606.42,0.1563,2.2558
516,6737,1500000,12124407681.43,1606986016.51,34836814.51,41329510.62,0.0069,0.0177
517,977,3490000,67767966376.2,11177718084.72,1777729908.56,-10728252476.63,0.1688,0.5583
518,288,783100,823707532.72,505399427.19,27656454.68,100233420.61,0.0404,0.0269
520,272,1890000,633571991.46,715103027.76,10529048.74,27716883.82,0.025,0.0104
521,14907,1324300,16103355454.46,15388050229.67,-79122112.48,1403516222.46,-0.0159,-0.0757
525,3195,2424000,11542748161.82,4021995202.84,-149086578.73,231238358.59,-0.0363,-0.2567
526,11442,9636400,3515113652.66,2429882904.4,42776621.02,167297920.54,0.324,0.4447
533,1270,5926900,2444369029.3,1477674933.94,85491762.08,38337487.04,0.0899,0.1238
534,890,1470700,2125769141.68,552561979.41,68835202.01,142422522.82,0.0694,0.14
537,2234,2459000,74834989645.27,19750567812.57,2211605684.51,-6384692667.24,0.144,1.1874
540,5950,2436900,138451063743.74,23437014482.48,710024574.72,12813596518.19,0.0328,0.1014
545,964,1700000,2887706112.04,1834093431.13,-250223300.41,177693817.48,-0.1385,-0.2536
546,3299,2760300,9805811635.23,8671488587.66,483132948.5,562890020.69,0.0913,0.676
547,2589,2969300,12435488442.32,4436047708.57,873149697.82,194807989.27,0.0934,2.39
555,12898,6856100,12051862835.52,10685976832,466382950.29,321856742.57,0.082,0.478
557,1122,1616700,5472298346.83,895854770.14,171683451.02,172193637.47,0.0334,0.1177
558,136,1815900,2165881489.35,140024539.82,-73207267.64,13155101.7,-0.06,-0.0568
559,8245,3505300,15490078642.11,10881679917.66,443594001.24,1240722110.93,0.0502,0.1343
560,48488,2285200,20123743078.13,9574944513.57,324872995.6,2243052983.18,0.0313,0.1379
564,4040,900900,46972672942.69,2210632901.92,-4606033965.83,173660422.17,-0.1782,-0.77
566,3148,2519200,10279231596.61,2200313977.32,-654561154.63,-117375748.61,-0.1648,-0.4899
567,58,5740000,6088885350.11,311777480.41,127803689.76,209451390.6,0.0293,0.1993
571,3055,2753100,2931012359.75,989107970.4,-352822686.65,137367956.25,-0.3741,-0.4334
572,3122,1347600,9208333394.09,1448218668,-1282274634.74,109801645.26,-0.289,-0.7797
573,255,4497400,3109257116.83,826058865.27,-120369186.78,265125813.91,-0.0764,-0.1886
576,278,2200700,1943277711.58,514783192.92,690002484.28,-163912.48,0.3973,1.5581
584,994,3071000,5016498223.62,1617874773.03,9316474.13,953118.4,0.0037,0.0122
586,603,2460100,490848239.24,485105246.04,22779380.11,797923.94,0.0834,0.1178
587,60,920400,5242408950.73,377949987.43,-266045352.02,-762524490.46,-0.7874,-0.1253
592,1060,1951100,4935689415.76,1234263308.85,-300582557.78,-103718885.33,-0.0917,-0.1556
593,1073,2272600,2101925820.46,1275434692.59,42187983.67,109745288.35,0.0402,0.1176
595,1206,722700,1582975387.23,204908810.9,13446776.57,-194183612.33,0.0135,0.0118
597,7567,2536400,12165694782.8,7384354375.59,10827500.52,570918423.06,0.0026,0.008
603,1581,2915800,4642922619.29,1637777142.58,413336921.91,598801913.82,0.1575,3.2123
605,1692,1565700,8682654178.09,1887061359.95,18741211.77,144054151.51,0.0067,0.0531
606,1602,1374700,1502694782.9,774504021.7,-1193540870.5,183585044.28,-2.7494,-1.5586
607,3070,1971100,3223661045.64,1666381186.96,-371152632.6,216643707.1,-0.2364,-0.3647
608,107,8603300,5923791940.6,570162656.45,115408181.02,372214126.31,0.0318,0.1539
609,179,2514500,3882019069.94,106197699.5,-306254727.21,-74367482.11,-0.2473,-1.0234
611,26,360000,2393455500.59,7395023.11,-40364577.53,-43035854.12,-0.037,-0.1195
612,2407,5064000,7136977155.72,4744064718.26,567900048.71,828427755.59,0.1177,0.4763
613,120,1317200,97441339.2,15511989.37,-11567888.97,-6729267.98,-0.1729,-0.0318
615,3565,2255900,9453174039.62,1987344106.08,38170703.3,-382582581.94,0.0144,0.0489
616,199,960900,5819189271.05,1254775377.24,378622531.52,-63830454.51,0.071,0.2647
620,7469,4875300,50391037662.63,7083884205.43,-1226922440.09,3115417242.92,-0.1471,-2.2894
622,133,1043300,387837529.92,343192051.65,3086605.1,6932564.99,0.0145,0.0073
623,4462,2989500,27353457083.87,2251650950.38,1691413240.68,390408759.72,0.0719,1.4543
626,623,8058100,6614086516.44,59041455357.74,54254366.1,-340301495.45,0.0193,0.0999
627,2379,2703900,239402637169.94,30562916430.35,1117905848.37,21421088420,0.0323,0.2263
631,615,1983300,7447804897.34,581138355.31,252795918.61,-1806263870.44,0.0398,0.1039
633,209,2022300,235559012.89,131431254.34,7169009.68,-7538445.51,0.0435,0.0186
637,684,6292200,1921187036.16,3997922191.85,-378837.57,69341087.47,-0.0004,-0.0007
638,670,919100,507416635.12,110993349.65,-20407474.41,-1739421.8,-0.1212,-0.066
639,1957,1023400,7723921757.15,5779674621.75,339732264.52,702648968.04,0.0791,0.3147
650,6538,2780000,6305052157.97,4106104187.58,657657198.41,871131642.15,0.1172,0.4698
656,22910,40215400,381157978538.14,87704409982.96,9704359875.43,14507907188.18,0.132,1.8174
657,7546,3105600,9203180360.86,9919458028.34,296489886.02,-171960898.66,0.06,0.2812
659,1896,3375000,2198332430.62,1260540367.98,-180443229.85,238737271.94,-0.3731,-0.1403
667,1988,8654000,28314202162.61,4206713612.38,-447357030.73,73810657.13,-0.0654,-0.1813
668,167,3064800,2619251905.01,109583338.38,-23285256.61,-94702431.73,-0.0223,-0.1586
669,1160,1450000,4063237030.7,2303598969.48,-32478490.94,363689965.37,-0.0222,-0.0477
670,136,1644000,1468419837.16,699966125.52,27790823.52,-99790350.47,0.1642,0.0958
671,21319,12000000,352301853054.58,82171244467.28,5491345439.03,21353512745.29,0.0927,1.3275
672,2433,3550000,11303732426.1,6432292239.1,2046717537.99,2014156628.37,0.2857,2.5156
676,895,3082200,5993810486.37,10778491493.4,-2965464198.14,-221105114.81,-0.8107,-2.2369
677,931,780000,867228057.45,680252665.05,16718793.48,48644589.61,0.0242,0.0194
678,3515,967000,2596692888.57,1191531469.82,-93527717.71,-43279344.45,-0.0812,-0.2035
679,467,3282100,1344177161.27,175772709.74,3960976.97,-48234565,0.0059,0.0111
681,483,2154200,4038764458.85,570451577.66,142303674.38,112482115.71,0.0449,1.9258
683,4887,1994900,23254776294.85,7698057885.71,126418856.51,1989263178.42,0.0104,0.0338
688,903,2057000,3568207483.75,907574758.05,147158889.08,263286310.4,0.0609,0.1294
690,1312,2740000,19301617062.35,7159672229.83,1817863262.61,3517729726.83,0.1668,0.8355
691,444,741700,727396395.77,265756701.42,31329285.36,-72413717.18,0.1351,0.0969
697,1714,3217600,3364659161.74,1131484201.33,-481057066.47,98410074.05,-0.4733,-0.7163
700,5810,7367900,8363319760.32,6124452567.36,11528041.28,249575704.28,0.0042,0.0126
703,18154,4124900,92260268155.54,86429630191.87,3814601983.9,5013772777.95,0.1259,1.0361
711,1078,2147000,9803908957.22,1158320511.62,-2531322158.15,60169476.13,-0.9442,-2.4728
712,1570,6913000,23702118815.95,1025741861.86,149303875.03,3532054827.86,0.0278,0.1666
715,1428,3463900,2320556347.39,858484490.46,96888022.19,145138094.3,0.0628,0.2331
716,2170,2848600,5214119292.33,3840922700.12,972413.6,386644130.75,0.0004,0.0013
718,777,3475800,15971545465.59,4287442671.04,1012994210.6,98384433.57,0.1164,0.3338
719,14172,2078700,13649895196.25,9590322571.26,933944030.38,1659318871.78,0.104,0.9128
720,884,3001900,5285936415.14,3853086549.2,284081366.11,416952463.89,0.0987,0.2203
722,295,1610000,3324937483.5,310885895.31,97203471.05,-186187387.66,0.0315,0.2094
723,4106,1254900,25313102628.5,12846280125.87,860291433.43,1218544164.43,0.0764,0.2013
726,22583,2909000,12129903960.65,4751222464.14,89090058.39,593535922.89,0.011,0.1038
732,6096,3010000,216832586290.45,3614534476.46,-5106527271.36,-2948831541.31,-0.2545,-2.0517
735,2750,1840000,8428863890.88,2345963180.84,108111970.04,-268175458.95,0.0252,0.0939
736,1369,7390300,99503326150.1,12299998319.56,896012578.79,-18740017674.34,0.0695,1.2884
739,5868,2450000,7494787957.34,7879672743.47,816730067.12,1059526132.55,0.186,0.693
751,5829,2002300,5340739806.55,6808634360.03,233821818.79,83808517.9,0.0816,0.1658
752,266,1684200,915687317.49,405330702.33,44956230.96,-49968631.36,0.125,0.1704
757,2341,2200300,3030340975.24,4088295952.28,52738104.45,104089959.78,0.031,0.0793
766,1990,1689400,4977076111.43,1111802396.45,-360659985.13,80705132.34,-0.1564,-0.3732
776,12307,6996600,457463686260.8,20138309486.49,10770894611.42,19831578995.73,0.1053,1.4133
780,6926,1708800,4191048311.84,1841660385.87,-760633530.2,-147723684.98,-0.2496,-0.7499
782,2571,1761900,2822548567.17,2349811159.92,36560636.24,-237268695.01,0.0254,0.0692
785,11239,6379900,39281320909.99,8992909458.68,1416945277.76,2055205938.23,0.0684,0.217
790,707,1101600,1140012121.38,759307481.01,37416257.21,13495800.83,0.041,0.0607
793,652,6476500,9180114361.74,2969563708.41,-2140371751.41,-101621324.96,-0.6155,-1.0717
795,3910,1695000,3946173377.87,2601229245.1,74112460.06,140028070.37,0.0308,0.0654
796,4270,937100,4447291783.45,1614569000.28,-706041881.7,308065022.32,-0.5461,-0.8793
799,1703,2943300,4337013154.32,1826171654.94,491608304.59,950153032.19,0.1721,1.513
802,80,3474800,4539096381.47,425779609.11,-769627356.15,18481529.33,-0.4518,-1.075
803,425,2360200,1815558671.25,346881592.21,51290612.63,-99595178.01,0.08,0.2684
806,2009,1053700,2126618473.51,1105975660.51,62056777.07,44689031.96,0.9892,0.0564
809,157,1672000,4566716055.41,188279160.18,-60220455.2,198332199.93,-0.0197,-0.073
810,6658,19139800,10250139368.19,8507806781.17,354102471.66,2446407146.99,0.0822,0.333
813,1132,7170000,6399443473.17,962867939.86,273641343.5,827536288.77,0.046,0.2894
816,1758,2331700,3689492572.25,1740281651.96,75681945.05,153251969.14,0.0311,0.0531
818,4327,2510000,4828881400.27,3536491591.91,226661984.3,181354272,0.0718,0.3321
819,630,2183200,999376094.57,1455818840.25,27313484.7,90776919.11,0.0315,0.0913
821,3472,1427100,6254522848.84,3059873922.08,32578971,253282883.73,0.0134,0.0605
826,80946,3910000,42372798303.07,8520764618.65,-1416889437.34,338052137.89,-0.0916,-0.9904
833,3484,2288900,4880555146.27,3190217905.58,63015492.62,265124048.31,0.0221,0.0943
836,847,3126400,2611660175.71,1052099971.88,16419303.06,91368970.46,0.0125,0.0136
838,579,8524500,18173585445.03,6051713044.33,258875093.85,3108892077.56,0.0889,0.2352
848,1070,2191000,3092933440.81,1860643698.75,433484504.31,378550364.75,0.1937,0.4027
861,1126,2416100,10374966988.23,1301578599.16,39173238.66,944882473.04,0.0095,0.0168
863,500,8710900,9661682770.33,4889415786.16,208586336.78,2825894876.36,0.0446,0.2888
869,2560,2134500,13102481541,3395402001,473062063,505146673,0.045,0.6901
876,95993,11566200,109443465562.15,109825224396.56,5847677507.73,5658169507.13,0.1138,1.2978
877,6369,6868000,14983146035.2,8692271683.34,1718005421.47,2565979192.22,0.1518,1.6382
881,4469,2475000,12319715091.57,6651679590.05,292867980.24,547361013.97,0.0456,0.3098
882,1192,2045400,11268269638.26,889808086.4,14364572.67,343118125.73,0.0018,0.0052
887,19749,3100000,18922894919.73,11548324048.12,496542069.98,1437881971.8,0.0553,0.4067
889,4613,1799300,3719191281.79,2573272009.25,20430971.87,237474220.37,0.0087,0.0218
890,348,1614900,926424250.02,467058989.47,15955439.93,2058155223.24,0.9598,0.038
892,125,4564300,2645212770.21,184935603.34,-784855283.01,276500167.82,-0.4199,-0.8001
893,636,3762000,4317703878.92,363172361.57,61459784.27,104629673.55,0.0154,0.0812
902,7262,2459000,11330011925.59,10068533177.44,971739264.28,2432504201.33,0.1364,0.729
908,2220,1740000,2690014013.86,877918599.51,-1155307680.1,-271684172.7,-1.8103,-2.7726
910,6762,2195400,8806184590.68,7264129590.32,634670257.11,885235485.04,0.1095,1.1594
913,4144,7217700,4622837461.43,3612450164.86,196846763.7,503025017.3,0.0734,0.434
918,2877,8570000,13492670529.31,999918419.44,-1282452898.61,-421704347.58,-0.5422,-0.7108
921,39499,4952300,41811635813.53,48392870703.11,2846034643.23,5962707809.84,0.1976,2.0885
923,3923,2408100,13428301059.25,5935194422.99,1506132967.74,2412645306.84,0.1529,2.3074
925,1469,3714400,6146366760.52,2926789948.08,4902731.75,42765219.03,0.0019,0.009
929,1148,751500,1297640953.11,306628889.77,-51690868.49,-25939504.68,-0.0497,-0.2783
931,2306,2309600,3455089205.24,1789615900.58,55389008,200200020.26,0.029,0.0735
935,382,7468100,5517059637.34,1472723613.28,888325779.15,601019488.42,0.1748,1.1636
936,851,3500000,8675167428.78,2355558721.43,-287957756.06,141623282.14,-0.0597,-0.325
955,960,6159000,1364223884.24,1379238129.27,290117923.62,427427801.25,0.3212,0.5389
961,46615,41160000,359253452733.35,78600848306.78,7804066140.19,8467448835.24,0.1614,2.0423
963,11359,4000000,24201348154.75,33683058759.75,2909716559.4,3411447747.56,0.1917,1.6629
967,8725,9312200,30110536990.88,14332025075.4,1429820654.73,1688714091.75,0.0828,0.452
971,822,4900000,2160900455,874483407.88,98638532.43,-69710329.68,0.0806,0.0935
975,1566,5372600,12906755769.84,7905802338.95,1366117676.21,2426702358.4,0.1234,0.492
976,876,6276000,7445843241.13,2243218770.28,540558961.45,177547145.32,0.1046,0.3388
981,10973,3900000,22144740046.3,7959664190.44,-1066281718.85,514248987.91,-0.1741,-0.5539
982,33,1404000,1238886856.84,141569708.11,33015544.31,-42097210.38,0.0292,0.0077
989,4552,4403900,5071508340.8,3559540963.73,269748576.11,609555035.41,0.0687,0.3103
995,388,395000,456663675.52,101688478.58,33482177.36,-990562.96,0.2503,0.1887
996,67,1270000,668550601.88,49935096.14,6082459.41,-6502199.33,0.0127,0.0176
997,6570,1672100,11782922774.96,7062870245.49,502239156.15,491497630.19,0.0782,0.4866
998,2763,4365000,13850860795.49,3290527650.55,232387737.1,1365237767.04,0.037,0.1765
1696,7754,7087000,9711766552.25,7847922900.96,632969288.7,655185159.98,0.127,0.5528
2001,10100,4910000,30897007799.54,10314084354.21,3577227510.51,3122807363.21,0.1844,1.6649
2002,4951,1932500,17906726515.69,5393922727.29,820274193.79,637226347.23,0.1092,0.3166
2003,7785,2770000,3402764131.37,2496116312.71,395150940.89,609558812.21,0.1525,0.5093
2004,12461,2474600,28226109662.7,10876361873.13,895005575.83,2372722438.5,0.0633,0.452
2005,7407,2541400,4063483966.9,2216002596.15,-602482999.28,-394570712.58,-0.3092,-0.3414
2006,1181,2935300,2070985186.43,1069894615.27,40334492.29,206089770.87,0.0418,0.0886
2007,2887,2280000,10038637131.75,5023206263.4,1844163884.61,1325292979.33,0.2277,1.0109
2008,14174,10002300,21345356203.29,11942482605.94,993499883.79,1891763227.33,0.0984,0.9311
2009,2943,1330000,5921892908.06,3592247899.91,86562265.34,154250253.66,0.0415,0.2336
2010,5189,6340000,34661757943.85,21640512026.45,1583435847.49,2179696070.38,0.0981,0.4788
2011,11284,3277400,8502870318.92,7380558840.54,-1033389702.22,437152524.4,-0.8098,-1.1267
2012,1160,1860000,2237911595.6,1550229940.91,168357844.88,85057127.64,0.1074,0.36
2015,2987,6788900,28202595397.14,11305931718.73,1033472387.27,2283401802.36,0.1235,0.7641
2016,886,3594900,7757698227.52,2947576076.91,833880129.35,673459087.85,0.2059,1.0306
2019,4123,1692000,11637239651.3,5400380581.37,931393986.56,1108506411,0.1067,0.8829
2020,3266,5840300,5666246990.95,3258075481.25,653327333.88,513210535.56,0.1661,0.926
2021,1060,1822900,861860219.59,525535334.5,-78550247.21,-36379808,-0.1246,-0.1142
2022,1922,3793800,5977153474.43,4155428846.74,1142202571.03,1367198250.32,0.2929,2.2206
2023,1254,1449900,7299533518.42,964133093.54,7087437.28,235208181.87,0.0018,0.0094
2024,45598,5400000,212075200000,252295666000,-5357866000,-1621846000,-0.0697,-0.5755
2026,2957,1902300,3225542183.81,2165052831.8,255145108.24,300692582.56,0.099,0.6029
2027,6779,12762500,21646165070.03,12097106052.76,4000895761.87,5223411676.72,0.2316,11.991
2028,5602,7717600,11075215294.54,7372519863.93,993835101.87,817566779.38,0.1481,1.3025
2029,2561,2291000,9284920921.61,3330357256.37,235256198.79,580937240.67,0.0389,0.3113
2031,2202,1490300,6003949133.37,1678113239.98,-76682656.06,113331880.13,-0.0226,-0.0349
2032,12048,10293900,12292270384.71,18596944289.02,1842624762.74,2076592774,0.2546,2.2441
2033,1646,858700,2836940274.42,431044774.38,75858398.04,161382645.01,0.0285,0.1381
2034,1901,1400000,12006889493.35,1698376920.65,520552889.8,961715328.03,0.1087,1.2354
2035,4720,2527300,5843458775.73,4360467123.9,415545393.59,-102534475.99,0.1285,0.4781
2036,8008,3026200,12388259718.69,7531942899.28,143654430.51,-122219680.45,0.0342,0.1371
2038,757,1085000,5394828767.77,1112733802.83,361453298.22,415837437.25,0.0725,0.3518
2041,723,412000,3760508569.11,900743999.55,48890864.31,369441568.42,0.0156,0.0556
2042,15906,4000000,17610075576.16,14231727949.61,-470061590.98,828351709.37,-0.0785,-0.3094
2043,3806,2498800,5279564958.61,6465756931.23,443454319.88,812654248.63,0.2144,0.5724
2044,34950,6470000,18336243743.68,7814896549.82,644731264.69,973262235.97,0.0742,0.1647
2045,3452,3111100,4483989144.21,4254027904.41,187187875.77,534751519.69,0.0918,0.3996
2047,2129,2872800,12028846647.65,5954903194.19,102499915.49,796014182.99,0.0243,0.276
2048,15449,3120000,19104714993.91,16892357701.77,1128276093.09,2869779774,0.0964,1.8017
2049,1899,8271900,7627730841.82,3270255229.79,801568998.57,417674626.03,0.1613,1.3209
2050,13073,3120800,17032530730.18,12109833368.44,1473323351.98,2087343783.11,0.1451,0.4102
2052,357,2109400,693385543.02,288468801.88,-153758969.37,-6903617.19,-0.6653,-0.2061
2054,1660,6164300,3973595051.33,1626081060.62,100351151.5,203918117.88,0.0406,0.2394
2055,11056,5557765.03,9476665361.14,7272228518.21,64890172.32,-639581721.91,0.0259,0.137
2056,14468,2885000,10240120384.03,8105787993.91,1015091617.26,1197392500.62,0.1681,0.6176
2058,183,1686000,218023787.79,82323296.31,-657735.66,17319774.88,-0.0036,-0.0046
2062,2049,3100000,17000223896.01,11316572808.24,533242105.63,1117220631.32,0.1402,0.4837
2063,4923,2899500,3138134407.02,1691519226.39,281019045.88,78849111.26,0.1015,0.2549
2064,6522,10791800,19668924655.65,14723882559,2278763615.93,4208611222.54,0.1969,0.4918
2065,10202,2100000,18883320717.95,9167186699.62,545945297.52,326030825.7,0.0545,0.1752
2067,1956,2774700,7291734218.26,4874550663.87,331638452.59,617225360.23,0.0675,0.2985
2073,2610,2059800,8172586162.04,3082064914.95,73036013.72,172492659.96,0.0162,0.0782
2074,7817,4155800,27834612190.42,6724233230.56,146903931.26,684953831.42,0.0133,0.1147
2075,4284,1987300,13189223542.04,14427221782.01,1213429404.3,1914651810.6,0.1504,0.5499
2078,11202,1173400,35866340147.29,21588648352.76,1967854504.09,6615906238.92,0.1212,0.7498
2079,1571,2703200,2374118364.06,1804661200.03,104260218.81,124668995.57,0.0545,0.1356
2081,15106,2524000,45003313428.27,31243227802.04,2340608772.66,1777115242.16,0.1365,0.8723
2082,2744,2030000,5662314950.96,13701855583.81,292212276.43,151006120.86,0.1022,0.4727
2083,13336,1211800,8895340823.47,4432082348.81,192177392.06,892314831.73,0.0525,0.2116
2084,5577,1325300,4001032897.38,3340050002.51,172157089.11,92781898.16,0.0842,0.3104
2085,11806,1769400,15973225900.87,10699224904.57,764876220.88,1735780906.42,0.1019,0.3498
2086,1032,720000,3279116467.69,427984778.72,-299580381.38,256011162.21,-0.2074,-0.3961
2089,163,1675600,2144339171.58,158832259.09,-289899228.42,-347317840.4,-0.2744,-0.2109
2090,1184,2252700,3484364607.62,1858194282.82,78300081,242916144.78,0.0561,0.1937
2093,943,1827600,4061929169.52,435783804.46,81898916.85,-173850457.66,0.0242,0.0813
2094,2799,1089700,4805511403.76,4001716786.57,-570559063.12,-176002005.64,-0.2061,-0.8258
2095,546,1302400,1635342463.76,385899294.03,40804480.99,-128919584.66,0.0349,0.1615
2097,5706,5180100,17358380269.93,9377367500.65,576876395.25,1804027315.15,0.106,0.5305
2098,4165,1437600,2210377174.58,1589919387.95,188099238.05,260672248.79,0.2073,0.5254
2099,3282,2399400,7178568316.07,2471386626.07,319698992.51,533869722.35,0.0546,0.1975
2102,949,1673300,9172015149.61,12841679568.72,104400713.07,1096361129.28,0.0304,0.0396
2103,2595,2945600,1681316130.35,2593237594.84,-236638588.87,7649544.96,-0.3003,-0.4429
2104,1325,2151000,2362507462.6,1052163738.15,-26472407.44,515155453.08,-0.0133,-0.038
2107,1304,2657900,1370094900.45,1006081515.18,186324825.79,196577975.59,0.203,0.3228
2108,2091,4768700,4945176828.56,2762479245.04,295939081.88,268408527.31,0.0827,0.2087
2111,2178,2132400,5690524472.36,2964983883.49,384154136.09,804189271.09,0.1174,1.0061
2113,227,1360300,1791011042.34,631363883.66,277984810.08,21410435.53,0.7297,0.184
2115,1059,2490300,4652987682.92,8738054190.48,2610786.25,663346525.9,0.001,0.0036
2118,1096,1102900,10508744772.87,285535339.24,-705760987.33,-1428603.78,-0.1887,-0.551
2119,922,3703800,1829046813.59,1548632508.79,87930951.38,160491983.07,0.0905,0.2343
2120,8646,6979000,29500766142.95,33500425643.17,1424106765.79,2183637598.99,0.0985,0.4912
2121,3454,4646300,9279179109.55,3337288927.25,196835195.85,508112619.63,0.1201,0.1398
2122,2252,2335400,4442768525.2,721743271.36,195142913.41,71248353.03,0.1106,0.1624
2123,999,3855300,6533818753.74,2735645260.03,102398358.99,397096504.86,0.0229,0.1262
2124,9437,22354000,15501961361.98,10764148563.64,3245772487.98,4453081509.46,0.3689,2.4707
2126,7652,6244000,9856245406.68,6324186529.7,365864673.51,456173578.49,0.0839,0.4619
2127,873,3998400,6506344387.41,4171910790.54,1185134815.74,956424737.04,0.205,2.8398
2130,5893,3898400,6890783591.18,4094777696.64,428138321.67,767684200.94,0.1207,0.3401
2131,5122,2009100,19257875021.33,15547867888.36,4773723012.15,464181502.78,0.3668,0.7067
2132,2982,1060000,5183740917.46,2832759589.33,118775476.93,386916290.17,0.0412,0.0945
2133,395,3183000,15652293181.29,5238113001.43,327864495.62,-940535248.63,0.0785,0.4235
2135,5702,1213300,13650090612.56,9256289931.66,263494828.23,444511171.75,0.0543,0.2547
2136,632,1409600,1018817012.68,1121707146.67,70304944.06,32712662.14,0.0889,0.327
2137,857,1762600,1914906715.23,783665952.91,28657732.46,110946073.13,0.0189,0.0496
2138,5944,4060000,7521710400.51,3476609084.59,597114850.02,812701949.04,0.1207,0.7405
2139,6229,4963600,6808735037.28,5560182998.21,551195084.09,647900708.38,0.1553,0.4855
2141,870,2317800,1167240757.94,963661415.21,-632539239.6,-113072205.75,-0.8449,-0.5575
2144,560,1411800,1947784415.31,461677366.93,64862434.68,88291794.36,0.0367,0.3669
2145,2502,2286700,8174797449.94,3715579733.6,475201822.1,718012713.39,0.0816,0.2314
2146,24778,19190200,288610872443.43,71511321744.91,7773910384.78,1366658579.83,0.1502,1.7879
2148,175,1985200,1246102125.87,161708183.09,12842019.56,7555741.22,0.0113,0.0227
2150,1367,8208000,1835266581.6,1423961082.24,158880877.59,223915945.11,0.105,0.4456
2151,5030,3938000,7102006209.32,3624338125.03,129037723.93,425903485.62,0.0278,0.2541
