Stkcd,Empnum,Vmntw3,A001000000,B001100000,B002000000,C001000000,T40801,T60200
603331,2301,1643000,1887905105.25,967589792.88,80981497.62,9343028.07,0.0852,0.4525
603332,1209,1393800,1485627725.63,879503495.1,35805282.4,160626725.35,0.0268,0.301
603333,1374,2026300,3186754331.33,2029698883.28,14795743.38,327683138.14,0.0096,0.0285
603335,607,3101200,842017297.75,975928933.65,71258467.6,128060751.83,0.1103,0.1664
603336,614,826700,1510508739.72,964036408.96,73191009.28,23748638.35,0.0682,0.2169
603337,6491,3271000,5097522892.24,3521416459.53,315418946.76,914362168.82,0.1052,0.7074
603338,1441,1773000,5869032275.04,2956758302.06,664140192.72,891764853.05,0.1774,1.368
603339,1350,1274900,2481126362.31,1103203106.18,106447554.94,239250742.38,0.0588,0.344
603345,13225,4778000,7096457738.45,6965114987.25,603800311.03,664887101.03,0.1639,2.5512
603348,5611,3733000,5600601266.66,2602568883.02,89949738.03,782935809.34,0.0349,0.3476
603351,559,2154300,1636416118.84,736063748.91,100446704.13,93304352.91,0.0773,0.7687
603353,722,1861038,1970572547.42,1843528796.4,170488598.2,395195629.95,0.1036,1.2782
603355,7622,2152800,7126996480.07,6280796603.13,326151094.39,1016666597.78,0.0946,0.7938
603356,1547,1770504,1787230226.53,1911945763.67,89383144.42,1528984.56,0.1039,0.6703
603358,2401,2366900,5080368602.57,4133828977.69,243315587.94,544994505.63,0.0828,0.7759
603359,461,1060000,7403052372.54,2337907610.93,392415368.5,22911453.28,0.1189,1.2315
603360,869,2928300,1429695956.74,749541031.81,221754543.29,210615284.82,0.2244,0.8485
603363,9233,2371600,12018695344.23,11517165757.65,993605033.17,406022923.58,0.2546,1.4742
603365,3296,2536000,3005174649.63,3034780744.09,274539756.19,378153416.8,0.1165,1.0295
603366,4002,3000000,6207804589.89,3542740925.35,173155936.11,429790397.28,0.0509,0.2164
603367,3074,2685000,6165710473.5,3674158475.21,437360194.29,431007158.05,0.0911,0.9647
603368,4706,1475000,14807733511.93,15668662970.95,781767746.82,664685872.79,0.1436,2.1556
603377,3994,656700,4666217577.57,848134248.37,138147506.26,650908286.14,0.0541,0.2263
603378,4445,4257000,5194616717.76,3506693613.89,315602625.92,253039722.24,0.1542,1.5308
603379,1704,2121100,5365526243.35,2720728128.47,221573216.81,519775864.19,0.0445,0.363
603380,1400,5646400,1375439469.92,1289047908.98,166119648.28,202169837.26,0.169,1.0382
603383,1490,1830900,1480679992.46,350026640.26,108861682.6,161969594.04,0.0919,0.647
603385,9043,8923500,5650013378.69,3217809031.75,317193546.55,758898479.83,0.0825,0.8352
603387,1830,2749300,2699983947.97,1123335618.58,330313109.78,185468524.2,0.1648,1.2688
603388,421,1330000,3027866277.67,714763820.37,92891290.01,26359758.77,0.0826,0.3258
603389,1226,2002800,836622724.24,311920901.31,12438362.8,42002827.33,0.0187,0.0473
603390,1079,2475800,2095536048.72,653867671.2,43976357.71,-90380282.11,0.0251,0.125
603392,2377,3620700,3503678822.42,2354256829.93,681815180.31,468206484.4,0.2642,1.5725
603393,838,3167500,9216427836.29,2112295988.64,602117005.87,954065486.13,0.1005,1.92
603396,1134,3023000,2157814429.8,1060752735.27,97432772.58,-70559953.04,0.0949,0.9211
603398,571,955695,1030124794.45,501592117.54,39920111.69,74818020.24,0.0512,0.1347
603399,273,1381400,2963790283.45,2290284503.84,-263846289.13,-439740525.75,-0.1386,-0.5168
603416,1506,3100000,2216714904.23,1134392413.28,331619324.18,206697307.96,0.2193,2.3593
603421,3350,7130300,4375743850.76,2101709269.92,181057290.61,134219527.54,0.0574,0.2757
603429,951,1555600,1615818779.58,464167939.36,68409236.18,173638772.72,0.0553,0.1799
603439,884,1272400,1258791072.8,630224958.06,93951131.86,63247318.18,0.0957,0.2307
603444,751,2149500,5387665710.8,2742292402.8,1331529756.88,1533014623.1,0.3135,18.5283
603456,3586,4832900,5001793606.73,2647284163.3,379887687.26,400392398.37,0.1231,0.4718
603466,1532,4540300,4328834722.73,2256301888.51,342510875.26,219207265.83,0.1736,1.1748
603477,3074,1059200,4295314764.77,1439190604.09,133498212.02,373234074.44,0.0493,0.2853
603486,6550,6316700,6162353381.76,7233756498.64,643984795.29,1196800835.51,0.2069,1.1411
603488,497,1055900,1088461512.51,407034946.15,103840655.49,52570843.26,0.1112,0.355
603489,659,2665500,2850633261.36,1397194255.18,402294845.76,231448220.41,0.1747,3.3437
603496,550,1871700,1168528095.24,533124549.14,30966908.4,-79431924.85,0.0382,0.1542
603499,1083,1133200,932774190.46,483937621.08,12586806.99,13029016.33,0.0203,0.0623
603500,448,2087470,962982351.07,273155332.08,55821635.95,101097759.15,0.0654,0.3164
603501,3291,2327600,22647992328.94,19823965431.66,2683121717.76,3344594067.54,0.2328,3.0926
603505,914,2081000,1964705979.45,879306979.19,246185288.06,341647137.67,0.2229,1.0258
603506,9086,2870600,1755913554,1413474554.67,145311294.73,124670675.16,0.173,1.0834
603507,2746,1263400,3574669521.7,1931352189.04,56673187.15,395328839.11,0.0387,0.4468
603508,809,1926200,4341908196.64,843552843.27,-560886698.64,383729619.61,-0.1433,-2.0581
603515,5199,3489200,8560462125.08,7969732718.12,799846017.2,1030698405.12,0.1523,1.0598
603516,600,1614100,1387619147.37,482603631.76,128208250.02,144603807.31,0.1249,0.9619
603517,4380,2355300,5922316622.5,5276079668.28,692464957.22,915699231.56,0.1388,1.1377
603518,2365,2783700,5627103984.5,3339906829.13,-639250629.23,942590068.95,-0.3283,-2.5325
603519,310,1728300,1429258754.39,1298949683.42,95644491.12,124730753.5,0.1257,0.4309
603520,1729,2469900,4406335461.47,1367087241.13,253597292.75,174479180.11,0.136,1.0355
603527,700,2001400,1412442283.29,3835993202.13,62366261.41,-218702640.37,0.0655,0.2558
603530,1198,3252500,1379980029.69,662973845.22,130699588.58,98312871.91,0.1169,0.3267
603533,876,2813300,2284396340.71,2060658761.6,252741572.51,322901128.83,0.1746,0.6303
603535,1086,1547600,2374104232.16,1151376646.21,162199185.46,104232318.55,0.0928,1.0785
603536,1983,1185200,1421125739.6,1409232387.79,20950675.58,66749200.68,0.0308,0.1219
603538,2432,1327300,3062722841.58,1193697918.25,173055119.22,251611239.82,0.0982,1.1567
603556,3376,2872000,7068558101.34,2805952366.54,479182873.4,411727242.18,0.0888,0.9806
603558,8847,3122200,3333216417.58,1582449086.77,-528133552.67,259450931.01,-0.2214,-1.2685
603559,1153,2897900,1856274923.84,657077984.87,-3403017.69,-125431223.96,-0.0039,-0.0237
603565,1451,2979500,11560893937.08,10419184227.03,1023512776.91,2017213679.5,0.1967,1.5353
603566,1678,8543700,2028803645.6,928511813.36,227744103.42,261831612.3,0.1332,0.7084
603567,3321,3416800,10234312842.17,3410854760.09,437503507.79,155178025.16,0.0795,0.5152
603568,2439,2766600,10473231915.3,3123489237.85,1255758453.16,952473038.19,0.2263,0.9994
603569,1508,5195500,5301006655.84,4077186279.35,121840703.57,652489410.62,0.0479,0.2175
603577,1643,1643700,2572028402.96,1937063005.45,105972605.23,-64378138.23,0.0778,0.3676
603578,602,834800,1073381275.89,427076977.24,85494639.32,30878833.07,0.1146,0.9319
603579,1369,2609700,2950273548.05,2020516424.11,180966460.44,275594380.01,0.1097,1.2926
603585,1088,2143200,3068246382.92,1558610029.48,219015619.76,169057787.61,0.0869,1.2168
603586,3006,2925252,2611297356.92,1286781515.19,163095293.56,351062497.77,0.0751,0.8009
603587,2249,4354300,4098779415.65,2564170558.22,629857514.34,723825950.79,0.1831,1.3089
603588,3184,2480000,15430249544.3,6826732844.62,636729542.22,1088819042.28,0.1194,0.7864
603589,3931,5604200,9806377313.95,4011144406.75,1275741631.19,498733010.2,0.1762,2.1262
603590,432,3020800,3785661037.14,808643947.92,183354993.59,58405515.7,0.0595,1.146
603595,1470,1722300,2214977115.7,928103630.03,47833240.86,105175687.38,0.0431,0.2246
603598,807,4296900,2096844922.83,5596166688.57,102094333.12,-23373539.84,0.2265,0.3773
603599,1761,1116000,7366221966.3,3402428649.14,588733508.52,691671491.33,0.1043,1.267
603600,8136,4371500,3193731658.25,3433721545.55,235436835.85,167442745.01,0.1682,0.7783
