y,x1,lnx2,lnx3,ln|x4|,ln|x5|,x6,x7
1271500,264,21.1702329456687,19.4521948230561,17.9424883820447,15.1952650733346,0.0426,0.3756
1153500,629,21.6268268743906,19.804274104803,-19.7734083960288,18.5723163517501,-0.2902,-0.3654
1877800,76,19.7137463196755,17.6254210437246,-18.6280067830743,-15.0271731717722,-1.8147,-0.3551
6090500,2394,23.274920334319,21.3742980866864,-20.6089440721199,20.0694146992793,-0.1338,-0.3208
10909300,13345,24.1845109097323,23.0900937315717,20.7888556302537,20.3003628233293,0.0806,0.414
2328200,278,21.987881285301,21.0658211305961,18.1508959143774,-19.7038285300604,0.0935,0.0931
19137100,10558,23.6071116190198,23.0908193691188,20.514952991277,21.7277943932826,0.0765,0.2644
906300,65,18.3344992405951,18.584986657288,15.2915785710188,15.1872568471999,0.1706,0.0079
1099000,1132,20.257699740966,20.3547240007394,15.7368626689451,17.9051653001519,0.0203,0.0241
833900,984,21.5683107092151,21.3016649302016,16.9228580563864,18.3012422049813,0.0369,0.1612
4767000,7397,23.3947549963907,23.1314201532014,20.6272691872235,20.2073037088832,0.1098,0.5018
11529100,4569,24.1471897772736,25.2457111918155,20.2518212028958,21.0995905538448,0.1327,0.9462
860000,60224,24.6428180738199,23.8082669777196,20.5351299229146,21.8240657965099,0.0663,2.3261
2074500,806,23.1069214601818,21.7183917581322,20.4656966315311,-20.1052419491006,0.1327,0.5209
1758900,147,21.8983753990943,21.4795022203722,18.1905318119069,-19.5801807923935,0.0273,0.152
1667000,572,23.9890698584256,21.9678319997956,-20.7634394402441,20.121305764893,-0.0854,-0.7001
6619300,9601,25.9217122162109,23.3663734657979,-22.2751561094812,22.8438778052106,-0.1349,-0.9084
9850200,1305,23.0161797048588,22.1272781285997,20.5928318080203,21.3144141532782,0.3156,2.1807
4394200,2245,23.1970152464334,21.8149530056136,19.7603477945315,20.1230802365704,0.0701,0.3508
4835000,960,23.1876941955611,20.3459941626943,-19.5827706147237,19.9796932449006,-0.0661,-0.2722
5670000,1881,23.2280533366844,23.5163299435558,20.3943941021012,-19.9905838154618,0.118,0.6881
28714000,73709,25.7381249050039,25.342838507435,22.2754330468835,23.048849523124,0.1024,1.0235
3848000,482,22.0353275294602,19.2478309527805,-19.0033034361912,-16.5690264668414,-0.2301,-0.1779
6218600,10484,24.4051334284791,24.4127075182093,-17.5360814992094,21.2243774076368,-0.0055,-0.015
1200000,8414,22.3511912428476,21.169005189171,-20.2362564573518,19.019706475927,-2.2304,-0.7001
1314000,4556,22.014207099751,21.9235866906096,18.4414300424257,19.4948409299419,0.0705,0.3271
3334500,12944,23.8777317297416,22.748468679689,20.6737753399847,21.376661844296,0.0685,0.4852
5994900,258,21.7088515001634,20.1304058982801,18.2581518258165,-17.6569383723769,0.0387,0.1768
4549900,18597,24.8653462389132,23.8490172470588,19.5608660554164,21.4466236981028,0.0139,0.04
28740000,149239,26.6104320901503,26.378242198806,24.0376897042365,24.1095903978235,0.2214,3.9128
1965800,5547,23.5450103022563,23.1383937423383,20.5034046549841,20.4792391174915,0.0873,0.796
6365200,902,21.2256260323686,20.7719966578313,19.023266127379,19.0876875524688,0.1889,0.371
4021100,2071,22.6331771414455,22.248530710563,19.1891034493432,19.9242703253883,0.0743,0.245
1335700,1603,22.8840152745315,21.3669533698921,19.2487412487044,-18.9772527748126,0.0289,0.1148
2128400,381,20.7197040972355,21.4949735556907,18.4147508042621,-18.8608776907881,0.1743,0.1946
2820400,4557,24.8950224629663,22.6761155598037,-21.968167670652,21.4368554208914,-0.1214,-0.606
2454300,612,26.2455754945272,24.0344553931114,-22.874506974242,23.3937312287413,-0.2069,-1.3898
3607000,49,20.6963071140332,18.1450105952819,17.4426108702162,18.3389755606567,0.0406,0.0707
1024000,554,22.9549281890887,20.6616165151592,-19.029725411654,19.8495491680877,-0.0357,-0.1001
1098100,1074,21.751316561433,18.9465724141644,-18.3394691557708,-16.8891841161328,-0.061,-0.2278
2440600,14020,24.7320691290092,24.262406900525,21.1122694037653,20.6974202374688,0.1144,0.6868
1610500,119,19.2604408872228,16.506084918222,-16.7505910899903,-16.5386900532673,-0.0985,-0.1018
3753500,1244,20.9831793447539,19.1500256012574,-19.309979400084,-18.3481780364409,-0.2524,-0.2707
1616300,1472,21.5661818283572,19.867727762927,-20.0012273071076,18.7075836558374,-0.8468,-0.5229
1296000,82,19.4231032149749,17.7292201417193,16.3916606819801,-18.3730181316024,0.0878,0.0123
4664800,2435,21.3201307701014,21.5148832064775,18.1386674311454,19.0899976795573,0.0689,0.1238
13364800,8367,23.7481109779744,23.0765830018631,21.4800104896681,21.4937261292602,0.1563,2.2558
1500000,6737,23.2184864215606,21.1976262220522,17.3661852737937,17.5370873456242,0.0069,0.0177
3490000,977,24.9393554479151,23.1371881769284,21.2986030550524,-23.0961465170103,0.1688,0.5583
783100,288,20.5293260888496,20.0408596195382,17.1353697010038,18.4230122300252,0.0404,0.0269
1890000,272,20.2668841920897,20.3879371850469,16.1696485419478,17.1375523096609,0.025,0.0104
1324300,14907,23.5022935005423,23.4568570860416,-18.186502944619,21.0622465122744,-0.0159,-0.0757
2424000,3195,23.1693232119471,22.1150439355662,-18.8200377604587,19.2589595918572,-0.0363,-0.2567
9636400,11442,21.9803376953023,21.6111089056481,17.5715022734593,18.935286736352,0.324,0.4447
5926900,1270,21.6170528608426,21.1137356988417,18.2639305793235,17.4619387493544,0.0899,0.1238
1470700,890,21.4773995228609,20.1300761649921,18.0472258291738,18.774308710306,0.0694,0.14
2459000,2234,25.03855138856,23.7064480778838,21.5169846427404,-22.5771691917157,0.144,1.1874
2436900,5950,25.6537827697678,23.8775824250483,20.3808101396823,23.2737726720906,0.0328,0.1014
1700000,964,21.7837282910399,21.3298161533926,-19.3378642787993,18.9955725006232,-0.1385,-0.2536
2760300,3299,23.0062410708568,22.8833063070796,19.9958024294345,20.1485948218884,0.0913,0.676
2969300,2589,23.2438201930701,22.2130296612392,20.5876175742698,19.0875249610114,0.0934,2.39
6856100,12898,23.2124850770943,23.0921981424093,19.9605176363504,19.5896171056609,0.082,0.478
1616700,1122,22.4229645382274,20.6132888709044,18.9611629381125,18.9641302007852,0.0334,0.1177
1815900,136,21.4960932699702,18.7573282496416,-18.1088052587026,16.3923202033274,-0.06,-0.0568
3505300,8245,23.4634655683223,23.1103464706518,19.9104202904455,20.938959394589,0.0502,0.1343
2285200,48488,23.7251662025555,22.9824155770689,19.5989448811493,21.5311037137748,0.0313,0.1379
900900,4040,24.5728318428111,21.5165446924361,-22.2506330125752,18.9726123536084,-0.1782,-0.77
2519200,3148,23.0533913467682,21.5118659040912,-20.2994755761227,-18.5808908734063,-0.1648,-0.4899
5740000,58,22.5297308723777,19.5578002875088,18.6660059708524,19.1600022446287,0.0293,0.1993
2753100,3055,21.7986137155718,20.7123140549124,-19.681476184593,18.7381736954882,-0.3741,-0.4334
1347600,3122,22.9433747147142,21.0936001333207,-20.9719013961684,18.5141860710804,-0.289,-0.7797
4497400,255,21.8576496654173,20.532176594406,-18.6060741343308,19.3957150407548,-0.0764,-0.1886
2200700,278,21.3876419264026,20.0592563853677,20.3522057559549,-12.0070879058234,0.3973,1.5581
3071000,994,22.3359979622224,21.2043792564379,16.0472948028519,13.7674944141638,0.0037,0.0122
2460100,603,20.0116455529312,19.9998764275045,16.941366303585,13.5897685586061,0.0834,0.1178
920400,60,22.3800469530607,19.7502724364441,-19.3991773485289,-20.4521451845661,-0.7874,-0.1253
1951100,1060,22.319758199317,20.9337401179902,-19.5212330089157,-18.4571947716622,-0.0917,-0.1556
2272600,1073,21.4661198187975,20.9665528928163,17.5576459913017,18.5136726782463,0.0402,0.1176
722700,1206,21.1825720695437,19.1380756132607,16.414249975066,-19.0843147247305,0.0135,0.0118
2536400,7567,23.2218859248103,22.7226293253559,16.1975998000968,20.1627568906188,0.0026,0.008
2915800,1581,22.2586098797437,21.2166057585301,19.8397736098979,20.2104414065968,0.1575,3.2123
1565700,1692,22.8845930997632,21.3582866200008,16.7462354949039,18.7856998390032,0.0067,0.0531
1374700,1602,21.1305258551725,20.4677334104481,-20.9001902473965,19.0281885746628,-2.7494,-1.5586
1971100,3070,21.8937835213367,21.233920158217,-19.7321239445917,19.1937646593402,-0.2364,-0.3647
8603300,107,22.502242611297,20.1614322402778,18.5639858022465,19.7349798549987,0.0318,0.1539
2514500,179,22.079621234082,18.4808130045789,-19.5399277554918,-18.1245293358471,-0.2473,-1.0234
360000,26,21.5960039748505,15.8163177792067,-17.513463164511,-17.57754414297,-0.037,-0.1195
5064000,2407,22.6885551561063,22.2801601406778,20.1574559906198,20.5350401919824,0.1177,0.4763
1317200,120,18.3947611056738,16.5571237906285,-16.2637436253056,-15.7219769260171,-0.1729,-0.0318
